Sample,Time,Device,X,Y,Z,qW,qX,qY,qZ,aX,aY,aZ
1951,12:02:42.8257,Trigger,0,0,0,0,0,0,0,0,0,0
1952,12:02:42.8387,H,-1,324272,1,051998,-1,289877,-0,9982287,0,05406274,-0,02343001,0,008233773,353,826,2,748122,358,9066
1952,12:02:42.8387,T,-1,332649,0,8139223,-1,498971,0,1863852,-0,9824432,0,007887481,-0,001926237,338,5188,179,5859,180,9985
1953,12:02:42.8477,H,-1,324487,1,051952,-1,289828,-0,9982626,0,05386797,-0,02250192,0,007986137,353,8467,2,639482,358,9414
1953,12:02:42.8477,T,-1,33252,0,813767,-1,498839,0,1864048,-0,982442,0,007602737,-0,001773174,338,5163,179,6109,180,9606
1954,12:02:42.8587,H,-1,324716,1,051935,-1,289808,-0,9982938,0,05367162,-0,02159701,0,007903825,353,868,2,534547,358,957
1954,12:02:42.8587,T,-1,333007,0,8139455,-1,499074,0,1864827,-0,9824272,0,007631104,-0,001637745,338,5071,179,6266,180,961
1955,12:02:42.8696,H,-1,325034,1,051961,-1,289805,-0,9983166,0,05359726,-0,02079838,0,007660747,353,8752,2,441026,358,9901
1955,12:02:42.8696,T,-1,332949,0,8138494,-1,499062,0,1866292,-0,9824008,0,007494163,-0,001459749,338,4897,179,6511,180,9404
1956,12:02:42.8806,H,-1,325224,1,051967,-1,28979,-0,9983383,0,05346618,-0,02016862,0,007434582,353,889,2,366983,359,0203
1956,12:02:42.8806,T,-1,333043,0,8138695,-1,499092,0,1866589,-0,9823951,0,007511045,-0,001434001,338,4863,179,6538,180,9419
1957,12:02:42.8916,H,-1,325413,1,051936,-1,289757,-0,9983515,0,05344177,-0,01963836,0,007253716,353,8909,2,304809,359,0444
1957,12:02:42.8916,T,-1,332885,0,8137884,-1,4991,0,1866158,-0,982404,0,007435275,-0,001280284,338,4911,179,6742,180,9291
1958,12:02:42.9025,H,-1,325566,1,051928,-1,289838,-0,9983651,0,05342174,-0,01909694,0,006965555,353,892,2,2407,359,081
1958,12:02:42.9025,T,-1,332978,0,8138015,-1,499145,0,1866521,-0,9823976,0,007390045,-0,001189794,338,4868,179,6861,180,9216
1959,12:02:42.9145,H,-1,3257,1,051929,-1,28982,-0,9983753,0,05339376,-0,01869602,0,006807358,353,8945,2,193551,359,1017
1959,12:02:42.9145,T,-1,332919,0,8138437,-1,499354,0,186707,-0,9823875,0,00735366,-0,001138596,338,4803,179,6931,180,9161
1960,12:02:42.9255,H,-1,325807,1,051937,-1,2898,-0,9983845,0,05337056,-0,01836548,0,006533845,353,8963,2,153804,359,1352
1960,12:02:42.9255,T,-1,333001,0,8138757,-1,499405,0,1866707,-0,9823947,0,007310982,-0,001125433,338,4846,179,6957,180,9106
1961,12:02:42.9365,H,-1,325866,1,051933,-1,289781,-0,9983963,0,05327238,-0,0180783,0,00634547,353,9069,2,119488,359,1589
1961,12:02:42.9365,T,-1,332827,0,8139738,-1,499369,0,1867355,-0,982383,0,007239295,-0,001125433,338,477,179,6973,180,902
1962,12:02:42.9474,H,-1,325983,1,051902,-1,289722,-0,9984029,0,05322516,-0,01789788,0,00620566,353,9119,2,097817,359,1762
1962,12:02:42.9474,T,-1,332617,0,8138485,-1,499189,0,1868435,-0,9823624,0,007249579,-0,001071163,338,4643,179,7035,180,902
1963,12:02:42.9584,H,-1,326063,1,051867,-1,289642,-0,9984093,0,05317933,-0,01774338,0,005995303,353,9166,2,078702,359,2014
1963,12:02:42.9584,T,-1,332695,0,8138942,-1,499237,0,1869138,-0,9823493,0,00721042,-0,001042969,338,4561,179,7077,180,8967
1964,12:02:42.9694,H,-1,32618,1,051894,-1,289664,-0,9984111,0,05317542,-0,01769219,0,005887378,353,9167,2,072146,359,2142
1964,12:02:42.9694,T,-1,332397,0,8137667,-1,499021,0,1869357,-0,9823452,0,007218681,-0,0009689031,338,4535,179,7165,180,896
1965,12:02:42.9804,H,-1,326216,1,0519,-1,289625,-0,9984142,0,05314701,-0,01768005,0,005657672,353,9195,2,069317,359,2408
1965,12:02:42.9804,T,-1,33247,0,8137875,-1,499062,0,186855,-0,9823603,0,007248551,-0,0009611826,338,4629,179,7168,180,8994
1966,12:02:42.9923,H,-1,326229,1,05193,-1,289621,-0,9984139,0,05314349,-0,01775503,0,005504217,353,9196,2,077006,359,2579
1966,12:02:42.9923,T,-1,332258,0,8136828,-1,498951,0,1869108,-0,98235,0,007200079,-0,001013992,338,4564,179,7115,180,8948
1967,12:02:43.0033,H,-1,326248,1,051933,-1,289618,-0,9984156,0,05308735,-0,01788975,0,005291796,353,9258,2,091161,359,2817
1967,12:02:43.0033,T,-1,332312,0,8137043,-1,498979,0,1868623,-0,9823592,0,007209387,-0,0009455527,338,462,179,7196,180,8943
1968,12:02:43.0141,H,-1,326197,1,05193,-1,289602,-0,9984171,0,05303715,-0,01799584,0,005149445,353,9313,2,102455,359,2975
1968,12:02:43.0141,T,-1,332053,0,8135827,-1,498849,0,1868866,-0,9823544,0,007238265,-0,0009134906,338,4591,179,7228,180,897
1969,12:02:43.0250,H,-1,326173,1,051891,-1,28968,-0,9984122,0,05309095,-0,01813364,0,005079158,353,925,2,117936,359,3047
1969,12:02:43.0250,T,-1,331922,0,8135094,-1,498872,0,1868806,-0,9823553,0,007261901,-0,0009841623,338,4599,179,7137,180,9015
1970,12:02:43.0365,H,-1,326178,1,051893,-1,289697,-0,9984136,0,05302979,-0,01822965,0,005075641,353,9321,2,128908,359,3046
1970,12:02:43.0365,T,-1,331973,0,8135336,-1,498897,0,1869087,-0,9823502,0,007240323,-0,0008802615,338,4565,179,7267,180,8965
1971,12:02:43.0465,H,-1,326131,1,051937,-1,289722,-0,998407,0,05308468,-0,01840704,0,005162464,353,9261,2,149905,359,2934
1971,12:02:43.0465,T,-1,331908,0,8135837,-1,498904,0,186889,-0,982354,0,007230026,-0,0008802615,338,4588,179,727,180,8953
1972,12:02:43.0585,H,-1,326076,1,051897,-1,289703,-0,9984034,0,05310652,-0,01851938,0,005245901,353,9239,2,163364,359,2831
1972,12:02:43.0585,T,-1,331958,0,8136079,-1,498921,0,186911,-0,9823497,0,00724341,-0,0009376399,338,4563,179,7197,180,8983
1973,12:02:43.0695,H,-1,326037,1,051908,-1,289668,-0,9983948,0,0532057,-0,0186546,0,005372596,353,9129,2,179798,359,2675
1973,12:02:43.0695,T,-1,331835,0,8135266,-1,498775,0,1869309,-0,9823458,0,00727113,-0,0009134907,338,454,179,722,180,9011
1974,12:02:43.0804,H,-1,326002,1,051897,-1,289618,-0,998386,0,05327909,-0,01889561,0,005445657,353,9048,2,208056,359,2574
1974,12:02:43.0804,T,-1,331889,0,8135478,-1,4988,0,1869753,-0,9823373,0,007276251,-0,0009052977,338,4488,179,7228,180,9015
